"name","language"
"Afghanistan","Pashto"
"Afghanistan","Dari"
"Dominica","English"
"Dominican Republic","Spanish"
"East Timor","Portuguese"
"East Timor","Tetum"
"Ecuador","Spanish"
"Ecuador","Quechua "
"Egypt","Arabic"
"El Salvador","Spanish"
"Equatorial Guinea","French"
"Equatorial Guinea","Portuguese"
"Austria","German"
"Equatorial Guinea","Spanish"
"Eritrea","Tigrinya"
"Estonia","Estonian"
"Eswatini","English"
"Eswatini","Swazi"
"Ethiopia","Afar"
"Ethiopia","Amharic"
"Ethiopia","Oromo"
"Ethiopia","Somali"
"Ethiopia","Tigrinya"
"Azerbaijan","Azerbaijani"
"Fiji","English"
"Fiji","Fijian"
"Fiji","Fiji Hindi"
"Finland","Finnish"
"Finland","Swedish"
"France","French"
"Gabon","French"
"The Gambia","English"
"Georgia","Georgian"
"Germany","German"
"The Bahamas","English"
"Ghana","English"
"Greece","Greek"
"Grenada","English"
"Guatemala","Spanish"
"Guinea","French"
"Guinea-Bissau","Portuguese"
"Guyana","English"
"Haiti","French"
"Haiti","Haitian Creole"
"Honduras","Spanish"
"Bahrain","Arabic"
"Hungary","Hungarian"
"Iceland","Icelandic"
"Iceland","Icelandic Sign Language"
"Indonesia","Indonesian"
"Iran","Persian"
"Iraq","Arabic"
"Iraq","Kurdish"
"Republic of Ireland","Irish"
"Republic of Ireland","English"
"Bangladesh","Bengali"
"Israel","Hebrew"
"Italy","Italian"
"Ivory Coast","French"
"Jamaica","English"
"Jordan","Arabic"
"Kazakhstan","Kazakh"
"Kazakhstan","Russian"
"Kenya","English"
"Kiribati","English"
"Barbados","English"
"North Korea","Korean"
"South Korea","Korean"
"South Korea","Korean Sign Language"
"Kuwait","Standard Arabic"
"Kyrgyzstan","Kyrgyz"
"Kyrgyzstan","Russian"
"Laos","Lao"
"Latvia","Latvian"
"Lebanon","Arabic"
"Lesotho","Sotho"
"Belarus","Belarusian"
"Lesotho","English"
"Liberia","English"
"Libya","Arabic"
"Liechtenstein","German"
"Lithuania","Lithuanian"
"Luxembourg","French"
"Luxembourg","German"
"Luxembourg","Luxembourgish"
"Madagascar","French"
"Madagascar","Malagasy"
"Belarus","Russian"
"Malawi","English"
"Malawi","Chichewa"
"Malaysia","Malay"
"Malaysia","English"
"Maldives","Dhivehi"
"Mali","French"
"Malta","Maltese"
"Malta","English"
"Marshall Islands","English"
"Mauritania","Arabic"
"Belgium","Dutch"
"Mauritius","English"
"Federated States of Micronesia","English"
"Moldova","Romanian"
"Monaco","French"
"Mongolia","Mongolian"
"Montenegro","Montenegrin"
"Montenegro","Albanian"
"Montenegro","Bosnian"
"Montenegro","Croatian"
"Albania","Albanian"
"Belgium","French"
"Montenegro","Serbian"
"Morocco","Arabic"
"Morocco","Tamazight"
"Mozambique","Portuguese"
"Myanmar","Burmese"
"Namibia","English"
"Nauru","English"
"Nauru","Nauruan"
"Nepal","Nepali"
"Netherlands","Dutch"
"Belgium","German"
"New Zealand","English"
"New Zealand","Maori"
"New Zealand","New Zealand Sign Language"
"Nicaragua","Spanish"
"Niger","French"
"Nigeria","English"
"North Macedonia","Macedonian"
"North Macedonia","Albanian"
"Norway","Norwegian"
"Norway","Sami"
"Belize","English"
"Oman","Arabic"
"Pakistan","Urdu"
"Pakistan","English"
"Palau","English"
"Palau","Palauan"
"Panama","Spanish"
"Papua New Guinea","English"
"Papua New Guinea","Hiri Motu"
"Papua New Guinea","PNG Sign Language"
"Benin","French"
"Papua New Guinea","Tok Pisin"
"Paraguay","Spanish"
"Paraguay","Guaraní"
"Peru","Spanish"
"Peru","Aymara"
"Peru","Quechua"
"Philippines","Filipino"
"Philippines","English"
"Poland","Polish"
"Portugal","Portuguese"
"Bhutan","Dzongkha"
"Qatar","Arabic"
"Romania","Romanian"
"Russia","Russian"
